time_hour,predicted_up_count,predicted_down_count,predicted_total_count,date,hour,day_name,predicted_up_count_rounded,predicted_down_count_rounded,predicted_total_count_rounded
2026-05-24 06:00:00,13.713561293716673,12.30149914893031,26.015060442646984,2026-05-24,6,Sunday,14,12,26
2026-05-24 07:00:00,27.43852732301522,26.105243505739395,53.54377082875462,2026-05-24,7,Sunday,27,26,54
2026-05-24 08:00:00,27.095009549550674,26.021857772155684,53.11686732170636,2026-05-24,8,Sunday,27,26,53
2026-05-24 09:00:00,26.12537709689517,25.196383054991774,51.32176015188695,2026-05-24,9,Sunday,26,25,51
2026-05-24 10:00:00,13.780425992983467,12.307845626034698,26.088271619018165,2026-05-24,10,Sunday,14,12,26
2026-05-24 11:00:00,21.82425950549806,20.100730506078865,41.924990011576924,2026-05-24,11,Sunday,22,20,42
2026-05-24 12:00:00,21.236081725557092,18.772594922043435,40.008676647600524,2026-05-24,12,Sunday,21,19,40
2026-05-24 13:00:00,21.479254464095757,19.675334819064446,41.154589283160206,2026-05-24,13,Sunday,21,20,41
2026-05-24 14:00:00,13.405403387912592,12.009128093211825,25.414531481124417,2026-05-24,14,Sunday,13,12,25
2026-05-24 15:00:00,12.850854851276697,11.824641789031096,24.67549664030779,2026-05-24,15,Sunday,13,12,25
2026-05-24 16:00:00,12.81838737956501,11.840985514891582,24.65937289445659,2026-05-24,16,Sunday,13,12,25
2026-05-24 17:00:00,35.139077586225014,31.728618176590388,66.8676957628154,2026-05-24,17,Sunday,35,32,67
2026-05-24 18:00:00,35.07409420329688,31.36957829525227,66.44367249854915,2026-05-24,18,Sunday,35,31,66
2026-05-24 19:00:00,34.75496820025307,31.897477118505645,66.65244531875871,2026-05-24,19,Sunday,35,32,67
2026-05-24 20:00:00,34.544411330886604,31.01784129414547,65.56225262503207,2026-05-24,20,Sunday,35,31,66
2026-05-24 21:00:00,12.854112356756414,11.891349238834568,24.74546159559098,2026-05-24,21,Sunday,13,12,25
2026-05-24 22:00:00,12.594794091858342,12.007386530696166,24.602180622554506,2026-05-24,22,Sunday,13,12,25
2026-05-24 23:00:00,13.690608136255708,12.874582340094587,26.565190476350296,2026-05-24,23,Sunday,14,13,27
2026-05-25 00:00:00,5.7452161040799625,4.963870297823167,10.709086401903129,2026-05-25,0,Monday,6,5,11
